date,url
2000-01-01,https://railroads.dot.gov/elibrary/changing-face-transportation
2000-01-01,https://railroads.dot.gov/elibrary/updated-analysis-train-whistle-bans-january-2000
2000-01-06,https://railroads.dot.gov/elibrary/compilation-state-laws-and-regulations-affecting-highway-rail-grade-crossings-third
2000-01-07,https://railroads.dot.gov/elibrary/part-232-inspection-activity-codes
2000-01-12,https://railroads.dot.gov/elibrary/safety-enforcement-guidance-inspecting-and-testing-brakes-cars-while-shop-or-repair-track
2000-01-20,https://railroads.dot.gov/elibrary/oregon-pacific-railroad-notice-relief-emergency-order-no-22
2000-03-01,https://railroads.dot.gov/elibrary/single-passenger-rail-car-impact-test-volume-i-overview-and-selected-results
2000-03-01,https://railroads.dot.gov/elibrary/single-passenger-rail-car-impact-test-volume-ii-summary-occupant-protection-program
2000-03-01,https://railroads.dot.gov/elibrary/developed-wheel-and-axle-assembly-monitoring-system-improve-passenger-train-safety
2000-04-01,https://railroads.dot.gov/elibrary/crosstie-and-fastener-tests-fast-1988-1999
2000-04-01,https://railroads.dot.gov/elibrary/safety-assurance-and-compliance-program-sacp-accomplishments-1999-and-first-quarter-2000
2000-04-01,https://railroads.dot.gov/elibrary/passenger-rail-vehicle-safety-assessment-methodology-volume-ii-detailed-analyses-and
2000-04-01,https://railroads.dot.gov/elibrary/passenger-rail-vehicle-safety-assessment-methodology-volume-i-summary-safe-performance
2000-05-01,https://railroads.dot.gov/elibrary/optimizing-train-performance-through-advanced-planning-and-integrated-data-recording
2000-05-03,https://railroads.dot.gov/elibrary/presentation-9-aspect-cab-signal-system-and-advanced-civil-speed-enforcement-system
2000-05-10,https://railroads.dot.gov/elibrary/railroad-cost-conditions-implications-policy
2000-05-11,https://railroads.dot.gov/elibrary/safety-concerns-involving-model-b1-relays-manufactured-general-railway-signal-grs-between
2000-05-18,https://railroads.dot.gov/elibrary/addressed-securement-lift-rods-roadrailer-trailers-order-prevent-highway-tandem-wheels
2000-05-18,https://railroads.dot.gov/elibrary/picton-ballast-movement-detector-test
2000-05-24,https://railroads.dot.gov/elibrary/single-passenger-rail-car-impact-test-volume-iii-test-procedures-instrumentation-and-data
2000-05-25,https://railroads.dot.gov/elibrary/addressing-recommended-replacement-certain-components-harmon-industries-electro-code-4-and
2000-06-01,https://railroads.dot.gov/elibrary/evaluation-top-rail-lubrication-system
2000-06-01,https://railroads.dot.gov/elibrary/efficient-access-pricing-rail-bottlenecks
2000-06-22,https://railroads.dot.gov/elibrary/slipping-tripping-hazards-locomotive-air-compressor-compartments
2000-06-22,https://railroads.dot.gov/elibrary/daily-inspection-record-retention-part-22921a
2000-06-22,https://railroads.dot.gov/elibrary/draft-gear-arrangements-and-cushioning-devices-215127-215129
2000-07-10,https://railroads.dot.gov/elibrary/statement-agency-policy-concerning-jurisdiction-over-safety-railroad-passenger-operations
2000-07-11,https://railroads.dot.gov/elibrary/horn-noise-ms-excel-spreadsheet-model
2000-07-24,https://railroads.dot.gov/elibrary/improved-roller-bearing-wayside-detection-research-phase-iii-system-evaluation-test
2000-08-01,https://railroads.dot.gov/elibrary/engineer-certification-reference-guide
2000-08-01,https://railroads.dot.gov/elibrary/railroad-safety-statistics-annual-report-1999
2000-08-01,https://railroads.dot.gov/elibrary/findings-and-recommendations-sofa-working-group-volume-ii-appendix-082000
2000-08-07,https://railroads.dot.gov/elibrary/manufacture-and-repair-operating-platforms-and-operating-platform-safety-railings-tank
2000-08-31,https://railroads.dot.gov/elibrary/assessment-risks-high-speed-rail-grade-crossings-empire-corridor
2000-09-01,https://railroads.dot.gov/elibrary/noise-characteristics-northeast-corridor-high-speed-trainsets
2000-09-26,https://railroads.dot.gov/elibrary/hazardous-materials-north-american-model-standard-standard-related-measures-spanish
2000-09-26,https://railroads.dot.gov/elibrary/hazardous-materials-north-american-model-standard-standard-related-measures
2000-10-01,https://railroads.dot.gov/elibrary/comparative-wear-performance-premium-and-bainitic-rail-steels-under-heavy-axle-loads
2000-10-01,https://railroads.dot.gov/elibrary/evaluation-alternative-detection-technologies-trains-and-highway-vehicles-highway-rail-0
2000-10-01,https://railroads.dot.gov/elibrary/computer-model-developed-predict-rail-passenger-car-response-track-geometry
2000-10-27,https://railroads.dot.gov/elibrary/safety-practices-reduce-risk-serious-injury-or-death-both-railroad-employees-engaged
2000-11-01,https://railroads.dot.gov/elibrary/fra-two-car-impact-test
2000-11-01,https://railroads.dot.gov/elibrary/instrumented-wheelset-system-results-verified-high-speed-safety-standards
